NU_ANO_CENSO;CO_ENTIDADE;NO_AREA_CURSO_PROFISSIONAL;ID_AREA_CURSO_PROFISSIONAL;NO_CURSO_EDUC_PROFISSIONAL;CO_CURSO_EDUC_PROFISSIONAL;QT_CURSO_TEC;QT_MAT_CURSO_TEC;QT_CURSO_TEC_IFTP;QT_MAT_CURSO_TEC_IFTP;QT_CURSO_TEC_NM;QT_MAT_CURSO_TEC_NM;QT_CURSO_TEC_CONC;QT_MAT_CURSO_TEC_CONC;QT_CURSO_TEC_SUBS;QT_MAT_CURSO_TEC_SUBS;QT_CURSO_TEC_IFTP_CT;QT_MAT_CURSO_TEC_IFTP_CT;QT_CURSO_TEC_EJA;QT_MAT_CURSO_TEC_EJA
2025;43064434;Gestão e negócios;4;Contabilidade;4053;1;34;0;0;0;0;1;1;1;33;0;0;0;0
2025;43064973;Controle e processos industriais;3;Eletrotécnica;3040;1;13;0;0;0;0;0;0;1;13;0;0;0;0
2025;43066348;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;35;0;0;1;35;0;0;0;0;0;0;0;0
2025;43068022;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;109;0;0;1;109;0;0;0;0;0;0;0;0
2025;43069002;Ambiente e saúde;1;Enfermagem;1006;1;162;0;0;0;0;0;0;1;162;0;0;0;0
2025;43069002;Desenvolvimento educacional e social;2;Outros - Eixo Desenvolvimento educacional e social;2999;1;56;0;0;0;0;0;0;1;56;0;0;0;0
2025;43069002;Produção industrial;11;Química;11175;1;45;0;0;0;0;1;2;1;43;0;0;0;0
2025;43069070;Gestão e negócios;4;Logística;4056;1;81;0;0;0;0;0;0;1;81;0;0;0;0
2025;43069126;Gestão e negócios;4;Administração;4050;1;76;0;0;0;0;0;0;1;76;0;0;0;0
2025;43069126;Informação e comunicação;6;Informática;6073;1;34;0;0;0;0;1;21;1;13;0;0;0;0
2025;43069355;Controle e processos industriais;3;Eletrônica;3039;1;140;1;140;0;0;0;0;0;0;0;0;0;0
2025;43070124;Gestão e negócios;4;Administração;4050;1;393;1;229;0;0;1;34;1;130;0;0;0;0
2025;43070124;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;78;0;0;1;78;0;0;0;0;0;0;0;0
2025;43070256;Controle e processos industriais;3;Eletrônica;3039;1;65;0;0;0;0;1;20;1;45;0;0;0;0
2025;43070256;Controle e processos industriais;3;Eletrotécnica;3040;1;19;0;0;0;0;1;6;1;13;0;0;0;0
2025;43071082;Recursos naturais;12;Agropecuária;12174;1;127;1;116;0;0;0;0;1;11;0;0;0;0
2025;43071538;Produção alimentícia;9;Agroindústria;9121;1;13;0;0;0;0;0;0;1;13;0;0;0;0
2025;43071538;Recursos naturais;12;Agropecuária;12174;1;402;1;363;0;0;0;0;1;39;0;0;0;0
2025;43071627;Controle e processos industriais;3;Mecânica;3043;1;19;0;0;0;0;0;0;1;19;0;0;0;0
2025;43071910;Gestão e negócios;4;Administração;4050;1;17;0;0;0;0;0;0;1;17;0;0;0;0
2025;43072135;Gestão e negócios;4;Administração;4050;1;84;1;84;0;0;0;0;0;0;0;0;0;0
2025;43072135;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;17;0;0;1;17;0;0;0;0;0;0;0;0
2025;43073824;Gestão e negócios;4;Contabilidade;4053;1;5;0;0;0;0;0;0;1;5;0;0;0;0
2025;43073824;Segurança;13;Segurança do Trabalho;13182;1;18;0;0;0;0;0;0;1;18;0;0;0;0
2025;43073824;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;16;0;0;1;16;0;0;0;0;0;0;0;0
2025;43074022;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;65;0;0;1;65;0;0;0;0;0;0;0;0
2025;43074200;Controle e processos industriais;3;Eletrotécnica;3040;1;177;0;0;0;0;1;61;1;116;0;0;0;0
2025;43074200;Controle e processos industriais;3;Mecânica;3043;1;118;0;0;0;0;1;52;1;66;0;0;0;0
2025;43074200;Informação e comunicação;6;Informática;6073;1;253;0;0;0;0;1;193;1;60;0;0;0;0
